,Unnamed: 0,ID,Type,Roll,Pitch,Yaw,X_acc,Y_acc,Z_acc,Interval Time,Time,index
0,0,1,Trigo,0.0,0.0,0.0,0.0,0.0,0.0,50,2024-03-21 17:09:36.274296,0
1,1,1,Trigo,-32.2953,-72.7659,164.883,-7.2425,-2.2178,1.8346,50,2024-03-21 17:09:36.325925,1
2,2,1,Trigo,-63.9878,-65.288,-176.6552,-7.0126,-5.6235,3.2955,50,2024-03-21 17:09:36.372182,2
3,3,1,Trigo,-92.0022,-52.5096,-171.9977,-14.6144,-13.8863,2.8644,50,2024-03-21 17:09:36.436082,3
4,4,1,Trigo,-116.7397,-45.9171,-170.5789,-5.9684,-10.2555,1.7532,50,2024-03-21 17:09:36.532861,4
5,5,1,Trigo,-100.4071,-56.1892,164.0166,-7.1132,-6.5432,6.1313,50,2024-03-21 17:09:36.559384,5
6,6,1,Trigo,-90.5448,-58.5584,155.8926,-6.1169,-6.8833,5.6235,50,2024-03-21 17:09:36.632444,6
7,7,1,Trigo,-117.0557,-51.0179,-170.5108,-9.9872,-10.1836,0.6131,50,2024-03-21 17:09:36.699737,7
8,8,1,Trigo,-131.2189,-39.5315,-147.5535,-10.8494,-8.8807,-1.8825,50,2024-03-21 17:09:36.754619,8
9,9,1,Trigo,-127.4179,-43.5469,-144.0819,-10.3177,-4.4835,3.7506,50,2024-03-21 17:09:36.821517,9
10,10,1,Trigo,-122.0658,-46.6066,-147.7608,-10.2076,-2.6681,3.3578,50,2024-03-21 17:09:36.887804,10
11,11,1,Trigo,-125.1876,-39.4906,-142.4435,-12.617,-3.6117,-0.8191,50,2024-03-21 17:09:36.936917,11
12,12,1,Trigo,-104.0425,-31.1935,-153.8261,-13.7474,-5.2307,3.2189,50,2024-03-21 17:09:37.032711,12
13,13,1,Trigo,-80.8885,-28.5653,-160.2438,-11.0363,-3.4776,1.1017,50,2024-03-21 17:09:37.162951,13
14,14,1,Trigo,-32.9371,-34.6566,-168.164,-13.0337,-7.4725,1.4562,50,2024-03-21 17:09:37.261847,14
15,15,1,Trigo,-10.0613,-43.4713,-178.4654,-10.1788,-6.4187,1.164,50,2024-03-21 17:09:37.332780,15
16,16,1,Trigo,13.5562,-48.8262,165.5885,-8.5502,-4.6655,1.7388,50,2024-03-21 17:09:37.374033,16
17,17,1,Trigo,41.7319,-48.7285,141.1331,-7.4294,-1.8442,2.6968,50,2024-03-21 17:09:37.445916,17
18,18,1,Trigo,56.4519,-47.0421,122.9756,-7.2713,-0.3257,2.4094,50,2024-03-21 17:09:37.496548,18
19,19,1,Trigo,60.9523,-51.0266,106.0844,-8.646,-0.6946,2.3375,50,2024-03-21 17:09:37.561416,19
20,20,1,Trigo,47.0392,-68.279,97.833,-13.005,-8.5933,1.1257,50,2024-03-21 17:09:37.633532,20
21,21,1,Trigo,-27.2635,-82.3725,150.5432,-11.6685,-11.4817,-0.5988,50,2024-03-21 17:09:37.686441,21
22,22,1,Trigo,-57.971,-71.8729,159.9252,-10.3704,-11.6685,4.5649,50,2024-03-21 17:09:37.749827,22
23,23,1,Trigo,-31.6318,-69.4082,114.2664,-8.2293,-7.5587,6.6629,50,2024-03-21 17:09:37.831978,23
24,24,1,Trigo,-19.8685,-78.1516,84.8226,-9.4699,-5.9301,3.9135,50,2024-03-21 17:09:37.886820,24
25,25,1,Trigo,-146.6414,-87.2309,-158.1782,-12.1475,-6.7923,2.2369,50,2024-03-21 17:09:37.947270,25
26,26,1,Trigo,-164.5739,-79.5948,-138.1217,-10.289,-4.8044,3.3434,50,2024-03-21 17:09:38.015998,26
27,27,1,Trigo,-171.3679,-72.5827,-127.4025,-9.8435,-3.9518,2.7543,50,2024-03-21 17:09:38.070698,27
28,28,1,Trigo,-163.6895,-57.9696,-128.3817,-10.2698,-3.1279,1.5951,50,2024-03-21 17:09:38.148935,28
29,29,1,Trigo,-153.0415,-53.5076,-134.7378,-11.041,-3.8081,1.6095,50,2024-03-21 17:09:38.191717,29
30,30,1,Trigo,-133.6428,-47.4731,-144.6057,-11.9559,-3.5973,1.825,50,2024-03-21 17:09:38.255423,30
31,31,1,Trigo,-113.4794,-40.3345,-149.885,-10.6578,-4.5122,0.9724,50,2024-03-21 17:09:38.321341,31
32,32,1,Trigo,-83.7688,-30.9881,-156.0778,-11.7835,-8.464,4.3973,50,2024-03-21 17:09:38.383111,32
33,33,1,Trigo,-52.5492,-34.7634,-144.9416,-11.2422,-11.3237,0.1629,50,2024-03-21 17:09:38.448915,33
34,34,1,Trigo,-24.8296,-56.8068,-141.2748,-11.8601,-7.0653,-0.1293,50,2024-03-21 17:09:38.516465,34
35,35,1,Trigo,0.0822,-65.1442,-156.4519,-10.8782,-6.1983,2.3232,50,2024-03-21 17:09:38.582637,35
36,36,1,Trigo,26.3584,-72.0917,-179.5569,-12.0565,-6.7013,2.4286,50,2024-03-21 17:09:38.648113,36
37,37,1,Trigo,85.1951,-73.8515,121.1311,-11.1704,-3.6069,0.2012,50,2024-03-21 17:09:38.704350,37
38,38,1,Trigo,100.1794,-62.3215,104.3714,-9.5561,0.8718,2.2274,50,2024-03-21 17:09:38.762751,38
39,39,1,Trigo,97.3555,-53.3108,98.1147,-7.7647,2.3567,2.692,50,2024-03-21 17:09:38.838665,39
40,40,1,Trigo,88.7703,-53.1528,80.3883,-7.5395,-0.6179,0.9053,50,2024-03-21 17:09:38.916205,40
41,41,1,Trigo,70.7121,-63.3154,65.2226,-11.6733,-5.0343,3.7171,50,2024-03-21 17:09:38.962842,41
42,42,1,Trigo,44.8915,-78.6339,64.7393,-12.3487,-10.6578,-0.5796,50,2024-03-21 17:09:39.021411,42
43,43,1,Trigo,-21.9497,-79.7544,112.2984,-13.163,-11.1943,6.821,50,2024-03-21 17:09:39.075636,43
44,44,1,Trigo,25.863,-77.235,63.6157,-8.1287,-4.8475,4.3398,50,2024-03-21 17:09:39.197195,44
45,45,2,Trigo,-141.3038,-83.2833,-174.9478,-10.174,-5.9875,0.6802,50,2024-03-21 17:09:48.072381,45
46,46,2,Trigo,-168.5586,-75.4947,-144.7471,-11.6446,-3.9614,0.5892,50,2024-03-21 17:09:48.128065,46
47,47,2,Trigo,-166.0716,-69.3072,-146.2365,-12.4781,-3.9614,0.3257,50,2024-03-21 17:09:48.176990,47
48,48,2,Trigo,-150.6071,-62.0995,-158.953,-12.4158,-3.3578,0.7568,50,2024-03-21 17:09:48.265712,48
49,49,2,Trigo,-133.0792,-56.0012,-168.3467,-11.5919,-2.3136,0.4455,50,2024-03-21 17:09:48.333142,49
50,50,2,Trigo,-115.3427,-52.7146,-172.0959,-10.8542,-2.5291,0.5892,50,2024-03-21 17:09:48.387366,50
51,51,2,Trigo,-93.7171,-50.4801,-175.0777,-10.5333,-3.7937,0.1341,50,2024-03-21 17:09:48.438646,51
52,52,2,Trigo,-64.922,-48.0692,-177.8751,-9.8531,-5.7001,0.8095,50,2024-03-21 17:09:48.504192,52
53,53,2,Trigo,-43.4988,-51.4662,-175.1405,-8.6796,-5.5038,0.1245,50,2024-03-21 17:09:48.562876,53
54,54,2,Trigo,-26.62,-63.7598,-175.2572,-9.9298,-5.8822,-0.3401,50,2024-03-21 17:09:48.632752,54
55,55,2,Trigo,4.7552,-74.4022,161.8062,-11.1752,-3.9709,0.091,50,2024-03-21 17:09:48.699464,55
56,56,2,Trigo,49.6485,-75.2896,119.9709,-10.4614,-1.9064,-0.1245,50,2024-03-21 17:09:48.754146,56
57,57,2,Trigo,55.6984,-74.9434,102.9311,-10.0495,-4.1003,0.8383,50,2024-03-21 17:09:48.832268,57
58,58,2,Trigo,-11.2957,-82.8955,139.4754,-12.8086,-14.7629,-1.552,50,2024-03-21 17:09:48.899286,58
59,59,2,Trigo,-40.4915,-73.2022,130.7889,-3.5782,-11.5775,-0.5844,50,2024-03-21 17:09:48.966773,59
60,60,2,Trigo,-17.4268,-57.1861,85.4022,-7.7838,-13.5175,5.7193,50,2024-03-21 17:09:49.011974,60
61,61,2,Trigo,-6.9093,-41.1819,55.737,-3.0034,-3.9614,3.9853,50,2024-03-21 17:09:49.082667,61
62,62,2,Trigo,-11.3941,-48.1919,51.4097,-7.597,-8.2724,2.2561,50,2024-03-21 17:09:49.132286,62
63,63,2,Trigo,-22.6282,-65.1006,63.115,-7.3383,-8.9717,0.3209,50,2024-03-21 17:09:49.201323,63
64,64,2,Trigo,-41.2501,-86.8847,86.3569,-8.2149,-7.4437,-0.9676,50,2024-03-21 17:09:49.257017,64
65,65,2,Trigo,133.2211,-83.2971,-82.9143,-9.331,-5.4463,1.4131,50,2024-03-21 17:09:49.320630,65
